Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.026,0.0000,0.0000,0.0000,-1.0000
0.039,0.0000,0.0000,0.0000,-1.0000
0.046,0.0000,0.0000,0.0000,-1.0000
0.056,0.0000,0.0000,0.0000,-1.0000
0.063,0.0000,0.0000,0.0000,-1.0000
0.072,0.0000,0.0000,0.0000,-1.0000
0.080,0.0000,0.0000,0.0000,-1.0000
0.092,0.0000,0.0000,0.0000,-1.0000
0.102,0.0000,0.0000,0.0000,-1.0000
0.113,0.0000,0.0000,0.0000,-1.0000
0.122,0.0000,0.0000,0.0000,-1.0000
0.129,0.0000,0.0000,0.0000,-1.0000
0.137,0.0000,0.0000,0.0000,-1.0000
0.143,0.0000,0.0000,0.0000,-1.0000
0.152,0.0000,0.0000,0.0000,-1.0000
0.160,0.0000,0.0000,0.0000,-1.0000
0.166,0.0000,0.0000,0.0000,-1.0000
0.174,0.0000,0.0000,0.0000,-1.0000
0.182,0.0000,0.0000,0.0000,-1.0000
0.190,0.0000,0.0000,0.0000,-1.0000
0.199,0.0000,0.0000,0.0000,-1.0000
0.208,0.0000,0.0000,0.0000,-1.0000
0.216,0.0000,0.0000,0.0000,-1.0000
0.224,0.0000,0.0000,0.0000,-1.0000
0.232,0.0000,0.0000,0.0000,-1.0000
0.240,0.0000,0.0000,0.0000,-1.0000
0.248,0.0000,0.0000,0.0000,-1.0000
0.256,0.0000,0.0000,0.0000,-1.0000
0.263,0.0000,0.0000,0.0000,-1.0000
0.270,0.0000,0.0000,0.0000,-1.0000
0.279,0.0000,0.0000,0.0000,-1.0000
0.287,0.0000,0.0000,0.0000,-1.0000
0.296,0.0000,0.0000,0.0000,-1.0000
0.303,0.0000,0.0000,0.0000,-1.0000
0.314,0.0000,0.0000,0.0000,-1.0000
0.323,0.0000,0.0000,0.0000,-1.0000
0.330,0.0000,0.0000,0.0000,-1.0000
0.339,0.0000,0.0000,0.0000,-1.0000
0.347,0.0000,0.0000,0.0000,-1.0000
0.357,0.0000,0.0000,0.0000,-1.0000
0.367,0.0000,0.0000,0.0000,-1.0000
0.376,0.0000,0.0000,0.0000,-1.0000
0.386,0.0000,0.0000,0.0000,-1.0000
0.396,0.0000,0.0000,0.0000,-1.0000
0.408,0.0000,0.0000,0.0000,-1.0000
0.418,0.0000,0.0000,0.0000,-1.0000
0.429,0.0000,0.0000,0.0000,-1.0000
0.440,0.0000,0.0000,0.0000,-1.0000
0.450,0.0000,0.0000,0.0000,-1.0000
0.461,0.0000,0.0000,0.0000,-1.0000
0.470,0.0000,0.0000,0.0000,-1.0000
0.481,0.0000,0.0000,0.0000,-1.0000
0.494,0.0000,0.0000,0.0000,-1.0000
0.505,0.0000,0.0000,0.0000,-1.0000
0.522,0.0000,0.0000,0.0000,-1.0000
0.535,0.0000,0.0000,0.0000,-1.0000
0.547,0.0000,0.0000,0.0000,-1.0000
0.559,0.0000,0.0000,0.0000,-1.0000
0.569,0.0000,0.0000,0.0000,-1.0000
0.584,0.0000,0.0000,0.0000,-1.0000
0.596,0.0000,0.0000,0.0000,-1.0000
0.605,0.0000,0.0000,0.0000,-1.0000
0.614,0.0000,0.0000,0.0000,-1.0000
0.623,0.0000,0.0000,0.0000,-1.0000
0.634,0.0000,0.0000,0.0000,-1.0000
0.645,0.0000,0.0000,0.0000,-1.0000
0.656,0.0000,0.0000,0.0000,-1.0000
0.665,0.0000,0.0000,0.0000,-1.0000
0.673,0.0000,0.0000,0.0000,-1.0000
0.682,0.0000,0.0000,0.0000,-1.0000
0.693,0.0000,0.0000,0.0000,-1.0000
0.702,0.0000,0.0000,0.0000,-1.0000
0.715,0.0000,0.0000,0.0000,-1.0000
0.727,0.0000,0.0000,0.0000,-1.0000
0.737,0.0000,0.0000,0.0000,-1.0000
0.748,0.0000,0.0000,0.0000,-1.0000
0.759,0.0000,0.0000,0.0000,-1.0000
0.768,0.0000,0.0000,0.0000,-1.0000
0.779,0.0000,0.0000,0.0000,-1.0000
0.791,0.0000,0.0000,0.0000,-1.0000
0.802,0.0000,0.0000,0.0000,-1.0000
0.815,0.0000,0.0000,0.0000,-1.0000
0.827,0.0000,0.0000,0.0000,-1.0000
0.841,0.0000,0.0000,0.0000,-1.0000
0.849,0.0000,0.0000,0.0000,-1.0000
0.863,0.0000,0.0000,0.0000,-1.0000
0.874,0.0000,0.0000,0.0000,-1.0000
0.888,0.0000,0.0000,0.0000,-1.0000
0.897,0.0000,0.0000,0.0000,-1.0000
0.906,0.0000,0.0000,0.0000,-1.0000
0.916,0.0000,0.0000,0.0000,-1.0000
0.924,0.0000,0.0000,0.0000,-1.0000
0.934,0.0000,0.0000,0.0000,-1.0000
0.941,0.0000,0.0000,0.0000,-1.0000
0.949,0.0000,0.0000,0.0000,-1.0000
0.958,0.0000,0.0000,0.0000,-1.0000
0.966,0.0000,0.0000,0.0000,-1.0000
