Time,JoyStick2Horizontal,JoyStick2Vertical,JoyStick3Vertical,JoyStick2Slider
0.000,0.0000,0.0000,0.0000,-1.0000
0.025,0.0000,0.0000,0.0000,-1.0000
0.040,0.0000,0.0000,0.0000,-1.0000
0.049,0.0000,0.0000,0.0000,-1.0000
0.064,0.0000,0.0000,0.0000,-1.0000
0.078,0.0000,0.0000,0.0000,-1.0000
0.087,0.0000,0.0000,0.0000,-1.0000
0.095,0.0000,0.0000,0.0000,-1.0000
0.103,0.0000,0.0000,0.0000,-1.0000
0.112,0.0000,0.0000,0.0000,-1.0000
0.120,0.0000,0.0000,0.0000,-1.0000
0.128,0.0000,0.0000,0.0000,-1.0000
0.136,0.0000,0.0000,0.0000,-1.0000
0.144,0.0000,0.0000,0.0000,-1.0000
0.152,0.0000,0.0000,0.0000,-1.0000
0.159,0.0000,0.0000,0.0000,-1.0000
0.168,0.0000,0.0000,0.0000,-1.0000
0.176,0.0000,0.0000,0.0000,-1.0000
0.184,0.0000,0.0000,0.0000,-1.0000
0.192,0.0000,0.0000,0.0000,-1.0000
0.198,0.0000,0.0000,0.0000,-1.0000
0.208,0.0000,0.0000,0.0000,-1.0000
0.215,0.0000,0.0000,0.0000,-1.0000
0.223,0.0000,0.0000,0.0000,-1.0000
0.229,0.0000,0.0000,0.0000,-1.0000
0.237,0.0000,0.0000,0.0000,-1.0000
0.244,0.0000,0.0000,0.0000,-1.0000
0.251,0.0000,0.0000,0.0000,-1.0000
0.257,0.0000,0.0000,0.0000,-1.0000
0.265,0.0000,0.0000,0.0000,-1.0000
0.272,0.0000,0.0000,0.0000,-1.0000
0.278,0.0000,0.0000,0.0000,-1.0000
0.286,0.0000,0.0000,0.0000,-1.0000
0.292,0.0000,0.0000,0.0000,-1.0000
0.299,0.0000,0.0000,0.0000,-1.0000
0.307,0.0000,0.0000,0.0000,-1.0000
0.314,0.0000,0.0000,0.0000,-1.0000
0.321,0.0000,0.0000,0.0000,-1.0000
0.330,0.0000,0.0000,0.0000,-1.0000
0.337,0.0000,0.0000,0.0000,-1.0000
0.343,0.0000,0.0000,0.0000,-1.0000
0.351,0.0000,0.0000,0.0000,-1.0000
0.358,0.0000,0.0000,0.0000,-1.0000
0.366,0.0000,0.0000,0.0000,-1.0000
0.373,0.0000,0.0000,0.0000,-1.0000
0.379,0.0000,0.0000,0.0000,-1.0000
0.390,0.0000,0.0000,0.0000,-1.0000
0.398,0.0000,0.0000,0.0000,-1.0000
0.405,0.0000,0.0000,0.0000,-1.0000
0.413,0.0000,0.0000,0.0000,-1.0000
0.420,0.0000,0.0000,0.0000,-1.0000
0.427,0.0000,0.0000,0.0000,-1.0000
0.433,0.0000,0.0000,0.0000,-1.0000
0.441,0.0000,0.0000,0.0000,-1.0000
0.449,0.0000,0.0000,0.0000,-1.0000
0.456,0.0000,0.0000,0.0000,-1.0000
0.463,0.0000,0.0000,0.0000,-1.0000
0.470,0.0000,0.0000,0.0000,-1.0000
0.479,0.0000,0.0000,0.0000,-1.0000
0.488,0.0000,0.0000,0.0000,-1.0000
0.495,0.0000,0.0000,0.0000,-1.0000
0.501,0.0000,0.0000,0.0000,-1.0000
0.510,0.0000,0.0000,0.0000,-1.0000
0.518,0.0000,0.0000,0.0000,-1.0000
0.526,0.0000,0.0000,0.0000,-1.0000
0.533,0.0000,0.0000,0.0000,-1.0000
0.541,0.0000,0.0000,0.0000,-1.0000
0.549,0.0000,0.0000,0.0000,-1.0000
0.556,0.0000,0.0000,0.0000,-1.0000
0.563,0.0000,0.0000,0.0000,-1.0000
0.571,0.0000,0.0000,0.0000,-1.0000
0.578,0.0000,0.0000,0.0000,-1.0000
0.587,0.0000,0.0000,0.0000,-1.0000
0.593,0.0000,0.0000,0.0000,-1.0000
0.601,0.0000,0.0000,0.0000,-1.0000
0.609,0.0000,0.0000,0.0000,-1.0000
0.616,0.0000,0.0000,0.0000,-1.0000
0.623,0.0000,0.0000,0.0000,-1.0000
0.632,0.0000,0.0000,0.0000,-1.0000
0.639,0.0000,0.0000,0.0000,-1.0000
0.647,0.0000,0.0000,0.0000,-1.0000
0.655,0.0000,0.0000,0.0000,-1.0000
0.662,0.0000,0.0000,0.0000,-1.0000
0.669,0.0000,0.0000,0.0000,-1.0000
0.676,0.0000,0.0000,0.0000,-1.0000
0.685,0.0000,0.0000,0.0000,-1.0000
0.692,0.0000,0.0000,0.0000,-1.0000
0.699,0.0000,0.0000,0.0000,-1.0000
0.705,0.0000,0.0000,0.0000,-1.0000
0.712,0.0000,0.0000,0.0000,-1.0000
0.720,0.0000,0.0000,0.0000,-1.0000
0.728,0.0000,0.0000,0.0000,-1.0000
0.734,0.0000,0.0000,0.0000,-1.0000
0.742,0.0000,0.0000,0.0000,-1.0000
0.749,0.0000,0.0000,0.0000,-1.0000
0.757,0.0000,0.0000,0.0000,-1.0000
0.764,0.0000,0.0000,0.0000,-1.0000
0.771,0.0000,0.0000,0.0000,-1.0000
0.777,0.0000,0.0000,0.0000,-1.0000
0.784,0.0000,0.0000,0.0000,-1.0000
0.791,0.0000,0.0000,0.0000,-1.0000
0.797,0.0000,0.0000,0.0000,-1.0000
0.806,0.0000,0.0000,0.0000,-1.0000
0.813,0.0000,0.0000,0.0000,-1.0000
0.822,0.0000,0.0000,0.0000,-1.0000
0.828,0.0000,0.0000,0.0000,-1.0000
0.835,0.0000,0.0000,0.0000,-1.0000
0.843,0.0000,0.0000,0.0000,-1.0000
0.852,0.0000,0.0000,0.0000,-1.0000
0.858,0.0000,0.0000,0.0000,-1.0000
0.865,0.0000,0.0000,0.0000,-1.0000
0.872,0.0000,0.0000,0.0000,-1.0000
0.878,0.0000,0.0000,0.0000,-1.0000
0.887,0.0000,0.0000,0.0000,-1.0000
0.892,0.0000,0.0000,0.0000,-1.0000
0.899,0.0000,0.0000,0.0000,-1.0000
0.915,0.0000,0.0000,0.0000,-1.0000
0.923,0.0000,0.0000,0.0000,-1.0000
0.930,0.0000,0.0000,0.0000,-1.0000
0.935,0.0000,0.0000,0.0000,-1.0000
0.944,0.0000,0.0000,0.0000,-1.0000
0.950,0.0000,0.0000,0.0000,-1.0000
0.955,0.0000,0.0000,0.0000,-1.0000
0.963,0.0000,0.0000,0.0000,-1.0000
0.969,0.0000,0.0000,0.0000,-1.0000
0.978,0.0000,0.0000,0.0000,-1.0000
0.985,0.0000,0.0000,0.0000,-1.0000
0.993,0.0000,0.0000,0.0000,-1.0000
1.000,0.0000,0.0000,0.0000,-1.0000
1.008,0.0000,0.0000,0.0000,-1.0000
1.015,0.0000,0.0000,0.0000,-1.0000
1.023,0.0000,0.0000,0.0000,-1.0000
1.030,0.0000,0.0000,0.0000,-1.0000
1.038,0.0000,0.0000,0.0000,-1.0000
1.044,0.0000,0.0000,0.0000,-1.0000
1.051,0.0000,0.0000,0.0000,-1.0000
1.058,0.0000,0.0000,0.0000,-1.0000
1.066,0.0000,0.0000,0.0000,-1.0000
1.074,0.0000,0.0000,0.0000,-1.0000
1.082,0.0000,0.0000,0.0000,-1.0000
1.090,0.0000,0.0000,0.0000,-1.0000
1.097,0.0000,0.0000,0.0000,-1.0000
1.106,0.0000,0.0000,0.0000,-1.0000
1.113,0.0000,0.0000,0.0000,-1.0000
1.121,0.0000,0.0000,0.0000,-1.0000
1.129,0.0000,0.0000,0.0000,-1.0000
1.137,0.0000,0.0000,0.0000,-1.0000
1.145,0.0000,0.0000,0.0000,-1.0000
1.153,0.0000,0.0000,0.0000,-1.0000
1.159,0.0000,0.0000,0.0000,-1.0000
1.166,0.0000,0.0000,0.0000,-1.0000
1.173,0.0000,0.0000,0.0000,-1.0000
1.180,0.0000,0.0000,0.0000,-1.0000
1.188,0.0000,0.0000,0.0000,-1.0000
1.195,0.0000,0.0000,0.0000,-1.0000
1.203,0.0000,0.0000,0.0000,-1.0000
1.210,0.0000,0.0000,0.0000,-1.0000
1.218,0.0000,0.0000,0.0000,-1.0000
1.225,0.0000,0.0000,0.0000,-1.0000
1.234,0.0000,0.0000,0.0000,-1.0000
1.241,0.0000,0.0000,0.0000,-1.0000
1.249,0.0000,0.0000,0.0000,-1.0000
1.257,0.0000,0.0000,0.0000,-1.0000
1.265,0.0000,0.0000,0.0000,-1.0000
1.272,0.0000,0.0000,0.0000,-1.0000
1.279,0.0000,0.0000,0.0000,-1.0000
1.291,0.0000,0.0000,0.0000,-1.0000
1.298,0.0000,0.0000,0.0000,-1.0000
1.306,0.0000,0.0000,0.0000,-1.0000
1.313,0.0000,0.0000,0.0000,-1.0000
1.322,0.0000,0.0000,0.0000,-1.0000
1.329,0.0000,0.0000,0.0000,-1.0000
1.336,0.0000,0.0000,0.0000,-1.0000
1.344,0.0000,0.0000,0.0000,-1.0000
1.351,0.0000,0.0000,0.0000,-1.0000
1.358,0.0000,0.0000,0.0000,-1.0000
1.368,0.0000,0.0000,0.0000,-1.0000
1.374,0.0000,0.0000,0.0000,-1.0000
1.384,0.0000,0.0000,0.0000,-1.0000
1.392,0.0000,0.0000,0.0000,-1.0000
1.399,0.0000,0.0000,0.0000,-1.0000
1.407,0.0000,0.0000,0.0000,-1.0000
